msoa11cd,covid19,p80up,pblack50up,pasian50up,incomescore19,higheredu,pcarehm,pm251418,so21418,nox,countDays,allpop,la,utla,p5064,p6579,morbidity,pindian,ppakbang,pblack,pchinese,so21418,nox,pcareservice,psale_cust,pprocess_plant,pelementary,pbus,ptrain,ptube,personkm2
"E02000030",6,7.256675,1.466113,10.65007,.0777936,.8278071,1.117196,10.688,.984,27.975,45,9288,"E09000003","E09000003",24.07407,15.37468,87.89947,5.991238,1.511501,3.986856,2.03724,.984,27.975,7.415305,5.188344,3.364132,4.951433,3.844373,3.041532,11.33241,637.0947
"E02000031",11,7.725155,1.822323,11.00987,.0654898,.8011014,1.974225,11.068,1.104,31.12,45,7728,"E09000003","E09000003",19.75932,12.83644,81.28532,7.129147,1.220181,4.757335,2.125034,1.104,31.12,7.468997,5.749718,2.70575,5.101466,5.848067,5.401205,18.78764,3985.631
"E02000032",5,4.871242,1.765766,19.17117,.0685068,.8104602,.4072801,11.19,1.19,30.907,45,7883,"E09000003","E09000003",22.60561,13.75111,86.80196,9.380171,2.596411,3.525519,2.125493,1.19,30.907,8.181344,5.497655,4.299114,5.315269,3.48878,2.962833,17.60168,5638.902
"E02000033",7,4.574504,3.449628,14.26891,.1232994,.8738763,1.159658,11.471,1.331,33.952,45,8919,"E09000003","E09000003",20.95526,10.58415,103.0405,7.02823,1.675061,6.290266,1.124517,1.331,33.952,9.382655,7.520823,5.022048,7.692307,7.134768,4.869762,15.38586,5022.725
"E02000034",8,4.344545,2.430815,12.67764,.1031413,.8152958,.6817113,11.414,1.219,33.656,45,9276,"E09000003","E09000003",19.4696,11.92324,85.25623,7.216737,1.716032,5.559474,1.704278,1.219,33.656,8.418307,6.758359,3.865307,6.023239,7.039537,3.310833,15.65413,5952.817
"E02000035",13,5.78696,2.011834,18.1854,.1102209,.8126374,2.109228,11.063,1.116,30.928,45,9003,"E09000003","E09000003",16.72776,11.14073,93.07349,10.0565,1.544256,4.268675,3.013183,1.116,30.928,6.799902,6.06873,3.144041,5.581282,5.408163,2.244898,25.4932,6936.382
"E02000036",9,3.990671,6.257982,19.60409,.1119545,.8253441,.5026529,12.168,1.085,42.719,45,11577,"E09000003","E09000003",18.51084,10.22717,88.74017,10.33231,2.587732,12.30569,2.690124,1.085,42.719,9.538153,6.807229,4.779117,7.248996,7.266253,5.314519,11.13016,6451.029
"E02000037",11,4.32646,3.551402,19.34579,.0812406,.8399815,0,11.04,.999,31.33,45,10378,"E09000003","E09000003",17.35402,12.55541,86.6703,13.50991,1.827328,7.914999,1.293502,.999,31.33,8.444044,6.439991,4.526008,5.854537,5.720275,2.740341,12.48877,2399.729
"E02000038",20,3.910857,3.076923,17.12374,.1043185,.8499834,1.94027,11.504,1.308,34.866,45,11532,"E09000003","E09000003",19.5196,9.712106,102.3998,9.729884,1.721514,7.856192,1.949781,1.308,34.866,8.044046,6.737589,4.292646,6.886898,9.687262,6.534452,14.836,6543.803
"E02000039",6,4.100165,2.855783,14.56449,.0709744,.8193043,0,11.768,1.127,39.084,45,7268,"E09000003","E09000003",20.32196,11.44744,82.49204,6.202247,2.486891,6.486891,2.382022,1.127,39.084,6.726191,4.345238,3.333333,5.327381,5.407098,9.874739,9.185803,3409.158
"E02000040",9,4.182927,3.747073,13.06792,.1121718,.8352401,0,10.92,1.059,30.897,45,8200,"E09000003","E09000003",16.93902,11.52439,91.22556,5.877449,2.473253,9.795748,1.95915,1.059,30.897,8.832808,6.687697,5.11041,7.066246,6.488011,3.566391,12.57304,1590.684
"E02000041",7,4.924281,5.063766,23.03076,.1214549,.8394317,.556123,11.492,1.164,35.29,45,9971,"E09000003","E09000003",17.37037,9.96891,105.0082,11.41755,2.996255,9.363296,2.383384,1.164,35.29,8.730159,7.551708,5.651756,10.96681,8.9063,3.629677,14.90246,7391.081
"E02000042",13,4.625895,3.785385,26.95852,.1146056,.8568394,1.691888,11.754,1.242,36.905,45,12149,"E09000003","E09000003",17.22775,9.095399,102.6183,14.59724,2.735219,5.282451,2.020867,1.242,36.905,7.177463,7.069801,3.786112,7.572223,9.027518,2.104346,23.74549,10020.05
"E02000043",5,5.015253,1.847079,24.2268,.0498441,.8027335,1.039501,11.515,1.325,35.683,45,8195,"E09000003","E09000003",17.87675,10.79927,85.67794,12.72089,1.923077,2.611746,3.599272,1.325,35.683,5.941379,4.700291,2.244521,4.119356,4.067734,1.785386,26.74397,5577.757
"E02000044",5,2.231237,9.471585,16.74975,.1566751,.8350858,0,12.049,1.221,40.163,45,8874,"E09000003","E09000003",19.13455,8.057246,113.2029,6.740181,2.502788,15.00434,1.585925,1.221,40.163,11.81493,9.143487,6.389424,12.94409,10.02428,6.867846,12.29622,8012.809
"E02000045",3,2.456912,5.684647,15.93361,.1438036,.8565747,0,12.382,1.253,43.156,45,10908,"E09000003","E09000003",18.65603,8.516685,102.9511,6.623034,1.465273,8.860018,1.758328,1.253,43.156,9.185272,7.050529,4.954955,8.166862,15.12068,3.209393,13.95956,6287.772
"E02000046",4,3.785281,2.824859,26.66667,.0817314,.8257213,.7362311,12.111,1.302,41.926,45,7582,"E09000003","E09000003",16.18307,8.744394,86.70312,11.18505,1.897211,3.992638,3.256407,1.302,41.926,6.123992,5.46875,2.242944,7.232863,7.557503,2.172326,30.86893,7821.615
"E02000047",7,2.653654,8.993339,23.4641,.1759938,.8625213,1.063923,11.674,1.284,35.249,45,12398,"E09000003","E09000003",17.26892,8.162607,108.7229,8.599314,3.464345,15.71265,3.70175,1.284,35.249,11.77416,10.44806,7.474382,15.89311,11.42292,3.337866,16.24428,8716.821
"E02000048",2,4.837952,3.435115,17.52255,.0855837,.8120514,0,11.484,1.174,37.252,45,10645,"E09000003","E09000003",17.67027,11.70503,81.87736,7.588876,2.312315,6.24427,2.332688,1.174,37.252,7.058102,5.973814,3.314239,4.971358,5.28778,3.317267,17.47944,3451.476
"E02000049",4,1.442101,20.20949,18.05299,.2650077,.8619021,0,11.654,1.34,36.689,45,9292,"E09000003","E09000003",16.96083,6.446405,111.3866,4.386687,2.293308,29.62484,3.222392,1.34,36.689,14.24581,10.86282,9.000621,15.98386,11.79911,3.405573,12.8483,11786.18
"E02000050",6,3.392939,4.717334,22.05167,.1319189,.8447788,.1093005,12.672,1.317,46.161,45,10905,"E09000003","E09000003",17.43237,10.03209,97.88298,11.26789,2.036963,9.131558,1.27186,1.317,46.161,7.715311,7.356459,4.066986,8.492823,8.592077,1.820128,22.00214,5142.258
"E02000051",8,6.576502,2.429577,16.40845,.0778816,.812339,.0693882,12.848,1.261,52.526,45,9686,"E09000003","E09000003",16.98327,11.93475,75.27195,7.910258,1.850353,5.250376,1.989129,1.261,52.526,6.972985,6.164858,2.170399,5.749249,7.385103,1.901743,19.98415,6687.295
"E02000052",3,3.003968,4.280473,13.12678,.093901,.8252996,0,12.017,1.31,41.207,45,10586,"E09000003","E09000003",16.67296,9.777064,90.39677,4.980408,1.505465,6.176531,1.495154,1.31,41.207,5.466179,5.045704,2.193784,6.051188,5.773334,2,34.06667,10921.35
"E02000053",1,1.751582,8.091517,39.73214,.1335767,.8598708,.1954697,11.696,1.284,38.579,45,15643,"E09000003","E09000003",13.59714,5.146072,92.81541,11.40623,5.300678,12.62504,6.553984,1.284,38.579,7.961631,10.69544,6.043166,11.94245,8.40152,3.17066,20.49971,10091.63
"E02000054",8,3.11187,5.305902,23.87656,.1047327,.8172442,.3608104,12.678,1.266,49.438,45,7616,"E09000003","E09000003",17.26628,9.020483,82.56767,9.769636,2.886483,9.117402,5.315015,1.266,49.438,8.091059,6.500274,4.60779,8.913878,8.016574,3.260674,16.71771,5075.75
"E02000055",7,4.578029,4.668304,19.41032,.0943656,.8326374,.952381,12.352,1.34,46.255,45,11861,"E09000003","E09000003",15.20108,7.916702,91.31115,8.301887,1.850854,6.963162,4.357592,1.34,46.255,8.672799,7.339966,3.454102,11.00056,9.252111,2.955368,18.10615,8234.984
"E02000056",9,5.739019,1.353093,7.345361,.0422636,.7929702,1.812853,11.707,1.262,39.709,45,9357,"E09000003","E09000003",18.79876,12.93149,74.05068,3.679983,1.183239,2.171081,1.031264,1.262,39.709,6.25,3.494624,1.187276,3.853047,3.453689,1.789639,20.91052,2899.514
"E02000057",9,3.375476,2.580275,18.52064,.0831477,.8689463,.6012827,12.801,1.324,50.998,45,8147,"E09000003","E09000003",12.82681,8.052044,94.61433,6.186531,1.603421,4.369321,2.17798,1.324,50.998,9.019494,6.895548,3.11318,8.32121,7.554167,2.869412,17.43119,7445.316
"E02000058",3,4.868024,1.627313,9.029994,.0716744,.8635136,.2935421,12.365,1.347,45.869,45,10949,"E09000003","E09000003",16.69559,12.19289,83.54449,3.630137,1.46771,3.307241,1.272016,1.347,45.869,6.013098,5.358206,2.202818,5.536813,8.313605,2.130622,21.59866,6037.887
"E02000059",14,3.156631,8.979748,37.98242,.1342001,.8427389,.1625394,12.237,1.343,45.458,45,11658,"E09000003","E09000003",17.74747,8.063132,117.3484,17.26743,4.8475,11.20566,3.317717,1.343,45.458,9.612683,11.90046,7.14429,13.28517,12.14621,5.038711,12.98388,5314.896
"E02000060",9,5.203107,2.677575,15.76794,.0963452,.9154913,1.822344,12.51,1.391,47.385,45,12358,"E09000003","E09000003",12.58294,7.565949,100.7452,5.695971,1.346154,3.406593,1.794872,1.391,47.385,7.259292,6.433384,2.260378,8.650293,7.276657,1.887608,19.48127,10026.95
"E02000061",10,5.378619,2.100657,15.84245,.0737931,.8275542,1.709722,11.977,1.35,43.013,45,8980,"E09000003","E09000003",16.32517,9.142539,82.1273,5.253963,1.884438,3.232248,2.820417,1.35,43.013,6.269222,4.376626,1.608706,6.434824,9.168054,2.362729,27.70383,5658.567
"E02000062",3,2.285379,9.359945,23.88162,.1912154,.8486464,.2365931,12.653,1.507,52.048,45,6826,"E09000003","E09000003",17.31614,7.383533,105.0727,8.201893,3.580442,15.39432,2.271293,1.507,52.048,11.02151,9.475806,5.678763,14.38172,14.52991,4.786325,13.86752,3712.759
"E02000063",4,3.236622,6.168647,19.86418,.1508197,.8349366,1.219337,12.56,1.387,46.644,45,7755,"E09000003","E09000003",19.01999,8.394584,117.2123,5.379429,3.256348,11.14618,2.5104,1.387,46.644,8.040666,8.502772,5.884165,10.72089,13.94618,4.832057,14.83009,7473.527
"E02000064",0,3.182017,6.23053,12.77259,.1677355,.8576648,1.760563,12.124,1.282,44.166,45,6851,"E09000003","E09000003",16.6545,8.918406,111.132,3.104994,2.59283,10.43534,1.504481,1.282,44.166,10.18998,6.321243,4.006908,11.81347,13.73308,3.718031,16.37653,8624.109
"E02000065",0,2.12411,25.08909,7.697791,.159881,.8735387,0,11.759,1.843,31.631,41,8992,"E09000004","E09000004",17.78247,5.527135,116.8489,1.891469,1.056614,43.75163,1.721889,1.843,31.631,11.76829,9.115853,8.109756,14.26829,12.72761,12.6713,7.433828,2805.512
"E02000066",3,2.383554,15.80658,13.08411,.2076592,.8745121,.4356395,11.996,1.596,32.899,41,10069,"E09000004","E09000004",19.28692,8.451683,121.9244,2.821284,.8090447,31.79131,3.464371,1.596,32.899,13.42066,10.38062,8.329214,17.20218,10.79063,16.16398,4.43631,6402.579
"E02000067",3,2.668745,6.814079,9.250902,.1677388,.9007962,.1485714,11.411,1.962,30.834,41,10267,"E09000004","E09000004",16.87932,7.743255,108.9722,5.428571,.6057143,16.4,.8228571,1.962,30.834,9.730392,8.676471,9.264706,11.93627,7.693541,16.50906,2.195865,4437.606
"E02000068",3,2.817937,9.552238,9.671641,.1963775,.9039559,0,11.679,2.128,31.93,41,8162,"E09000004","E09000004",16.4298,6.505758,118.8723,5.684895,.5955604,21.03411,.5414185,2.128,31.93,10.07941,9.804521,8.124619,12.76726,7.7101,16.92367,2.563608,3593.107
"E02000069",3,5.461812,3.828413,8.671587,.1278348,.8910564,.6296416,11.7,1.753,29.635,41,6756,"E09000004","E09000004",18.84251,11.13085,102.2692,6.151114,1.033258,12.17307,1.17856,1.753,29.635,9.486448,8.380884,8.523538,10.87732,5.786985,13.10516,1.621256,4654.967
"E02000070",0,5.691964,1.80624,5.287356,.0831718,.885026,0,11.602,1.515,29.487,41,8064,"E09000004","E09000004",22.29663,13.46726,101.26,5.142857,.5206349,6.64127,.3936508,1.515,29.487,9.602303,8.451073,7.980115,9.340659,5.803181,13.96609,1.887782,4344.694
"E02000071",3,3.982763,2.345786,5.256299,.1195345,.9027483,0,11.613,1.587,28.334,41,7658,"E09000004","E09000004",20.80177,10.45965,108.7531,4,.4931507,5.356164,.7945206,1.587,28.334,9.746479,10.16901,8.56338,9.239436,5.779037,13.55996,.9631728,6496.943
"E02000072",1,2.194382,8.226324,3.250401,.2050828,.9109912,.0681779,11.087,1.481,25.4,41,12851,"E09000004","E09000004",16.58237,6.030659,135.5607,1.312425,.3664564,20.73462,.7925686,1.481,25.4,11.11584,10.45571,9.923339,16.20528,8.916636,13.04074,1.677387,2937.107
"E02000073",6,5.255448,2.093693,6.176394,.0562893,.8762025,0,11.697,1.475,29.827,41,10922,"E09000004","E09000004",22.01062,13.55979,96.95689,5.02611,.690041,4.671764,1.053711,1.475,29.827,8.601942,8.38835,6.912621,7.223301,4.267892,16.97964,1.733421,6825.444
"E02000074",7,3.858332,3.667482,3.91198,.1946394,.9128732,.9928151,12.181,1.578,30.944,41,8527,"E09000004","E09000004",20.0774,10.3788,115.7408,2.442848,.6009144,10.71195,.6009144,1.578,30.944,10.64459,10.23063,9.727972,13.3353,6.99184,11.86944,.9272997,7552.885
"E02000075",4,6.70621,1.55922,3.898051,.0604856,.8773616,.3522899,11.537,1.494,28.905,41,8261,"E09000004","E09000004",22.72122,16.475,94.45397,3.585808,.4529441,2.918973,.8178158,1.494,28.905,8.580107,8.073905,6.327512,6.783093,3.892734,18.2526,.9861591,5380.614
"E02000077",9,5.205679,2.113208,6.188679,.0814475,.8845313,.8053176,11.707,1.512,29.318,41,8241,"E09000004","E09000004",20.95619,11.16369,100.7964,4.473987,.8947974,4.678512,1.278282,1.512,29.318,10.04109,8.885465,7.24191,8.859784,6.223252,17.65335,1.640514,7375.599
"E02000078",5,5.926956,1.699205,1.735358,.0638368,.9042821,0,11.555,1.478,27.998,41,7913,"E09000004","E09000004",20.23253,13.15557,95.00036,1.2394,.1565558,4.122635,.417482,1.478,27.998,7.190844,7.738244,6.195571,8.161234,4.17327,18.85895,.8804367,5318.353
"E02000079",19,7.95612,1.155867,4.69352,.0878742,.8704959,1.881755,11.896,1.487,33.573,41,8660,"E09000004","E09000004",18.47575,11.78984,109.2738,3.331214,.8010172,2.708201,1.665607,1.487,33.573,8.075165,7.61808,5.71356,6.424581,4.885935,21.64541,1.095743,5255.129
"E02000080",1,5.101238,2.045657,6.581678,.0773606,.8865388,0,11.868,1.446,32.146,41,10174,"E09000004","E09000004",20.65068,11.65717,101.3528,4.570519,.795334,4.835631,1.717921,1.446,32.146,9.039425,8.10281,6.36027,8.255282,6.415702,17.56262,1.274352,6013.9
"E02000081",3,6.557173,1.17201,2.826612,.0911853,.8838668,0,11.512,1.368,30.176,41,8037,"E09000004","E09000004",20.66692,13.6867,103.0689,2.382537,.5723413,2.994809,1.064821,1.368,30.176,8.725212,7.733711,6.458923,9.433428,5.039194,15.60284,.9705114,3643.65
"E02000082",5,5.124308,1.782242,4.957874,.0465672,.8982502,0,12.15,1.371,34.236,41,9211,"E09000004","E09000004",20.86636,11.36684,106.5294,2.546192,.8111762,3.672826,1.228031,1.371,34.236,8.137276,7.770343,7.70559,7.943017,5.075594,17.86486,1.85128,6151.047
"E02000083",3,3.607706,2.397029,2.7684,.1243432,.9074924,.2149217,11.628,1.421,29.715,41,11420,"E09000004","E09000004",18.72154,9.789843,117.4907,1.535155,.72664,5.373043,.614062,1.421,29.715,8.254106,8.578219,7.800346,10.06914,4.573655,15.87073,.7935363,3054.116
"E02000084",1,5.096581,1.216485,5.064548,.0553813,.8676867,.0563857,11.979,1.344,34.468,41,11027,"E09000004","E09000004",21.67407,13.93851,96.88702,3.514707,.535664,3.063622,1.127714,1.344,34.468,7.276393,6.964809,5.553519,6.231671,3.928343,17.14651,1.381958,4251.219
"E02000085",2,4.935032,1.482326,2.850627,.072523,.9025321,0,12.359,1.371,35.802,41,8004,"E09000004","E09000004",20.61469,12.08146,99.29572,1.15292,.7094894,2.711263,.7601672,1.371,35.802,8.616837,8.443009,6.903402,7.474547,5.316544,14.67296,1.381602,4930.266
"E02000086",4,4.93574,.8484381,3.509449,.0458895,.8894669,.0682314,11.683,1.324,30.651,41,7314,"E09000004","E09000004",23.13372,13.95953,97.59682,1.978712,.2319869,1.241812,.900655,1.324,30.651,7.800678,8.244195,5.974432,6.991912,4.231338,16.20473,1.311899,4913.766
"E02000087",2,7.283782,.7055805,4.425914,.0466197,.8647551,.1715266,11.503,1.251,30.008,41,8059,"E09000004","E09000004",21.60318,14.24494,93.25768,3.259005,.3826362,1.820821,1.042354,1.251,30.008,5.950458,6.32741,4.711901,5.250404,3.260667,20.53289,.8198249,2168.524
"E02000088",2,5.606877,.9246575,3.356164,.0490524,.8927909,0,11.283,1.3,27.65,41,7794,"E09000004","E09000004",20.52861,14.08776,96.0956,2.171384,.68502,1.434665,.8918185,1.3,27.65,8.165322,7.18246,6.123992,8.039314,4.100669,18.7082,.967969,3899.089
"E02000089",8,6.929691,.907563,2.689076,.0523055,.8987989,1.90158,11.4,1.29,28.774,41,7908,"E09000004","E09000004",21.42134,13.34092,101.0811,1.361943,.372607,2.145702,.5910317,1.29,28.774,8.456935,6.895654,5.698673,6.895654,3.678077,19.66497,1.201748,5781.731
"E02000090",9,7.514148,.8438818,3.134418,.0777407,.8829004,2.945221,11.226,1.238,29.441,41,9542,"E09000004","E09000004",17.52253,12.29302,99.705,1.764841,.6303002,1.971121,1.10016,1.238,29.441,6.932773,7.236228,3.991597,7.259571,5.072119,22.66603,1.489935,5272.421
"E02000091",9,8.860125,.9961686,3.422733,.0879035,.881469,1.414997,11.146,1.57,28.091,41,9966,"E09000004","E09000004",20.4696,14.0578,106.2857,1.879777,1.26007,2.385871,1.043173,1.57,28.091,7.608696,7.054126,4.392192,6.233363,4.814546,18.83636,1.149091,3645.766
"E02000092",7,4.783633,1.751065,3.123521,.1830025,.9190664,.2956738,11.01,1.157,25.782,41,6794,"E09000004","E09000004",19.78216,11.11275,137.6414,1.229381,.8247743,4.715219,.8092126,1.157,25.782,9.611961,9.077964,8.365967,10.39516,6.815114,11.49348,1.079622,1133.869
"E02000093",14,4.027989,7.214919,55.76276,.1226194,.8259296,.7350914,11.516,1.287,33.865,43,11147,"E09000005","E09000005",18.34574,10.50507,116.8611,38.16043,4.677019,9.583755,1.341542,1.287,33.865,6.679389,11.10687,6.01145,10.74428,7.432931,4.110263,18.16392,8092.606
