"msoa11cd","covid19","p80up","pblack50up","pasian50up","incomescore19","higheredu","pcarehm","pm251418","so21418","nox","countDays","allpop","la","utla","p5064","p6579","morbidity","pindian","ppakbang","pblack","pchinese","so21418.1","nox.1","pcareservice","psale_cust","pprocess_plant","pelementary","pbus","ptrain","ptube","personkm2","meanUVAJAN01APR17","meanUVAJAN01APR17_100","Meantempwinter"
"E02005764",2,7.390677,0.1222494,0.2200489,0.0910349,0.8934897,1.286606,7.634,1.292,12.277,39,10405,"E07000165","E10000023",22.1432,17.52042,121.3456,0.2400384,0.0288046,0.4320691,0.1920307,1.292,12.277,11.01647,9.256104,9.331819,14.82112,2.499332,0.1603849,0.0400962,2323.181,389.4482057,3.894482057,3.86472284793854
"E02005765",2,7.509697,0.0363769,0.2910149,0.0569928,0.88336,1.545645,8.287,1.195,12.408,39,6445,"E07000165","E10000023",26.56323,19.10008,97.83302,0.1127033,0.0161005,0.2093061,0.1610047,1.195,12.408,7.963801,7.028657,7.45098,9.743589,0.928998,0.420261,0.044238,94.6271,389.4852343,3.894852343,3.90371461766929
"E02005766",0,6.652431,0.2150538,0.1075269,0.0533626,0.8826616,0.2288329,6.196,0.902,6.853,39,6088,"E07000165","E10000023",27.98949,20.0887,98.8347,0.1144165,0.0326904,0.3759398,0.1307617,0.902,6.853,7.602163,4.807693,4.176682,9.254807,1.517484,0.7477458,0.0219925,21.86786,396.3095706,3.963095706,2.56728737558419
"E02005767",2,7.020766,0.0676361,0.1014542,0.0332739,0.84647,0.8467023,7.501,1.191,9.696,39,7079,"E07000165","E10000023",27.03772,18.61845,96.71437,0.0445633,0,0.311943,0.103981,1.191,9.696,8.157817,5.547315,3.263127,5.63631,1.408747,2.481076,0.1051304,131.1709,402.8650971,4.028650971,3.88157959337588
"E02005768",0,5.043762,0.1877053,0.6100422,0.0273133,0.9087428,0.3151957,7.054,1.19,10.032,39,6741,"E07000165","E10000023",22.19255,12.9951,111.7648,0.0497678,0.0829462,1.526211,0.4479097,1.19,10.032,7.692307,7.600368,3.248544,7.539074,3.127918,1.40056,0.1633987,238.5335,400.9935086,4.009935086,3.70029340055254
"E02005769",2,7.856837,0.1776199,0.3552398,0.1025893,0.8931544,0.0579542,7.67,1.479,13.682,39,7013,"E07000165","E10000023",23.95551,16.85441,122.512,0.3622139,0.1014199,0.3332368,0.260794,1.479,13.682,12.15788,10.28522,7.000865,11.12071,5.187144,2.725793,0.1423922,2680.332,394.9825371,3.949825371,3.9220228989919
"E02005770",0,6.590414,0.220568,0.6892749,0.0658697,0.8978297,0.0643363,7.345,1.355,11.667,39,9180,"E07000165","E10000023",23.40959,16.4488,115.0859,0.3967403,0.2144542,0.6862535,0.1393952,1.355,11.667,10.68191,9.420575,5.73512,11.68703,3.561604,1.187201,0.0434342,2004.57,392.5509943,3.925509943,3.88853181733025
"E02005771",3,3.860072,0.6557377,2.540984,0.0985822,0.8960541,0,7.389,1.288,13.797,39,7461,"E07000165","E10000023",23.05321,12.16995,113.5512,0.6111639,0.0543257,1.140839,1.086514,1.288,13.797,10.88058,9.457177,6.055489,11.38721,6.256723,0.9143062,0.0358551,3243.905,392.2082743,3.922082743,3.84870704015096
"E02005772",0,7.617286,0.0350877,0.4912281,0.0342016,0.8527009,1.333333,7.842,1.29,12.157,39,5947,"E07000165","E10000023",26.4335,22.24651,101.6173,0.3089431,0.2113821,0.1626016,0.2926829,1.29,12.157,8.891795,7.518797,3.465185,6.832298,2.139991,1.738743,0.0891663,212.5686,398.8437943,3.988437943,3.95738692393248
"E02005773",4,5.085121,0.4126548,1.409904,0.1421726,0.9103994,1.721209,7.952,1.616,17.81,39,9046,"E07000165","E10000023",21.77758,11.30887,144.0246,1.392821,0.4982448,1.653267,0.6454535,1.616,17.81,11.93157,8.661758,5.262018,13.49069,3.982843,2.297794,0.0612745,3478.133,392.5509943,3.925509943,3.77836807568868
