"PRO_COM","meanwintertemp"
1049,14017.3333333333
1059,13931.6666666667
1078,14001.6666666667
1050,13938.3333333333
1051,13946
1080,13588.3333333333
1081,13810.3333333333
1013,13984.3333333333
1014,13950.6666666667
1048,13976
1067,13745.3333333333
1068,13946.3333333333
1091,13986.3333333333
1092,14003.3333333333
1015,13990.6666666667
1016,14019.6666666667
1017,14008.6666666667
1052,13871.3333333333
1053,14005
1054,13813
1069,13969.3333333333
1093,13861.1706192358
1094,13928.6666666667
1018,14006.3333333333
1031,13933.3333333333
1032,13945
1055,13978.3333333333
1056,13931
1270,13870.3333333333
1217,13992.6666666667
1247,13970.6666666667
1248,14018
1258,13224.1870471014
1261,13985
1278,13635.3333333333
1281,13543.6666666667
1300,13936
1293,13967.6666666667
1313,13702.617544301
1240,13998.6666666667
1249,13960.6666666667
1227,13688.2658486708
1231,14013
1241,13996
1306,13626.6701501311
1218,13977.6666666667
1002,13952.3333333333
1037,14007.3333333333
1038,14016.3333333333
2002,13336.4914893617
2030,13975.3333333333
2031,13979.6666666667
2032,13986.6666666667
2003,13964.6666666667
2004,14014.3333333333
2021,13986
2014,13694.3333333333
2025,13496.3333333333
2171,13964.3333333333
2054,13975
2057,13531.6666666667
2108,13964
2006,13979.3333333333
2163,13981
2110,13418.6666666667
2152,13966.3333333333
2133,13990.3333333333
2115,13971.6666666667
2122,13973
2048,13809
2116,13999
2147,13978.3333333333
2089,13961.6666666667
2090,13956.6666666667
2070,13969.6666666667
2131,13971.3333333333
2082,13966.3333333333
2102,13866
2104,13967
2107,13908.6666666667
2047,13973
2088,13964.3333333333
2158,13985
2137,13983
2142,13963
2058,13962.3333333333
2071,13974.3333333333
2091,13965
2164,13970.3333333333
2096,13616
2065,13980
2170,13521.6666666667
2126,13968.6666666667
2127,13967.6666666667
2166,13726
2118,13963.6666666667
2134,13730.3333333333
2059,13972.3333333333
2062,13974.6666666667
2072,14015.3333333333
2078,13713.3333333333
2049,13966.6666666667
2113,13619
2093,13966.6666666667
2066,13925.6666666667
2067,13970
2148,13972.1961243944
2156,13843.3968419715
2128,13970
2150,13986
2045,13969.6666666667
2135,13693.1666666667
2121,13747.6666666667
2061,14000.3333333333
2079,13979.3333333333
2052,13976.6666666667
2097,13591.6666666667
2068,13975
2042,13988.6666666667
2043,13890.3333333333
2016,13964.6666666667
2041,13638.3333333333
2008,13766
2009,13984.3333333333
2015,14014.3333333333
2029,13407.3333333333
2017,13968.6666666667
2033,13977.6666666667
2011,13978
2007,13968
2035,13974
3166,13997
3019,14003
3021,14014.6666666667
3022,13949.3333333333
3023,13990.6666666667
3027,14004.3333333333
3030,13997.3333333333
3006,13938.6666666667
3008,13971.6666666667
3012,14003.6666666667
3016,14010.3333333333
3018,13991.3333333333
3093,13980.6666666667
3095,13982
3109,13984
3112,13951
3114,13989
3115,13929
3097,14021
3098,13933
3100,14006.6666666667
3073,14007
3076,13983.3333333333
3158,13979
3103,13988.3333333333
3032,14016.6666666667
3024,14005.3333333333
3036,14002.6666666667
3037,13983
3025,13975.6666666667
3026,13999.6666666667
3001,14007.6666666667
3002,13951.3333333333
3122,13979.6666666667
3129,13989.3333333333
3130,14015.3333333333
3121,14020
3082,13982
3083,13995
3084,13998.3333333333
3106,14003
3068,14015.3333333333
3088,14005
3047,13989
3049,13981
3051,13992.3333333333
3069,13980
3070,13989.3333333333
3153,14014
3090,14010.6666666667
3091,14028.6666666667
3052,13965.6666666667
3135,13997.6666666667
3138,14015.3333333333
3154,14000.6666666667
3139,14017.3333333333
3119,13991
3120,13967
3159,14007.6666666667
3164,13962.3333333333
3116,13960.3333333333
3055,14010.3333333333
3058,13988.3333333333
3060,14004.3333333333
3062,13944.6666666667
3140,13972.6666666667
3141,13979
3143,14014
3104,13981.3333333333
3108,14018.3333333333
3077,13984
3042,14013.3333333333
3065,14017
3043,13965.3333333333
3044,13999
3045,14003.3333333333
3131,14008.6666666667
3066,14000
3144,13976.6666666667
3133,13936.3333333333
3134,13981
3146,13992.3333333333
3149,14005.6666666667
3039,13998.6666666667
3040,13972.6666666667
3041,13978
3079,14008
4203,13949.3333333333
4034,13937.1133582725
4213,13991.6666666667
4186,13733.3333333333
4144,13901
4085,13962.6666666667
4154,13342.4856278366
4086,13900.3333333333
4116,13981.6666666667
4093,13803
4094,13839.6666666667
4096,13923.6666666667
4082,13842.9387874553
4083,13629.6666666667
4108,13865
4137,13942
4188,13917
4189,13903.6666666667
4156,13750.3333333333
4158,13915.3333333333
4142,13978
4112,13804
4089,13931.3426482538
4106,13922.3333333333
4097,13956.6666666667
4098,13958.3333333333
4113,13993.3333333333
4166,13955
4175,13863
4176,13985.6666666667
4107,13917.6666666667
4159,13748.3333333333
4099,13981
4129,13889.3333333333
4167,13336.1111111111
4168,13981.6666666667
4148,13964.3333333333
4149,13957.3333333333
4150,13885.3333333333
4160,13920.6666666667
4161,13946.6666666667
4138,13945.6666666667
4023,13899.6666666667
4052,13911
4054,13850.6666666667
4066,13861.6666666667
4028,13838.6666666667
4058,13912
4053,13471.4360018091
4065,13961
4067,13934.3333333333
4004,13919
4005,14023
4064,13865.3333333333
4006,13342.3333333333
4184,13921
4192,13804.3333333333
4193,13985.6666666667
4139,13742.6666666667
4185,13816.3333333333
4100,13949.3333333333
4143,13925.3333333333
4090,13657
4080,13956.6666666667
4153,13895
4157,13753.5555555556
4084,13424.7028031071
4120,13910.6666666667
4121,13847
4091,13711
4092,13713.3333333333
4101,14001
4102,13909.3333333333
4103,13922.3333333333
4114,13894
4115,13953.6666666667
4177,13892.3333333333
4178,13908
4122,13699.3333333333
4200,13917.6666666667
4015,13891.6666666667
4016,13854.6666666667
4018,13901.6666666667
4172,13360.4422222222
4124,13906.6666666667
4125,13891
4109,13926
4111,13883.3333333333
4141,13869.6666666667
4173,13771.6666666667
4131,13938.3333333333
4180,13960
4163,13799.3333333333
4145,13906.3333333333
4132,13939.6666666667
4133,13972
4155,13821.8958527027
4162,13875.6666666667
4140,13956
4087,13900.3333333333
4088,13897.3333333333
4118,13893
4134,13841.3333333333
4104,13981
4095,13838.8278359507
4081,13902
4117,13956
4078,13910.6666666667
4126,13887
4127,13858
4128,13927.6666666667
4110,13542.6214689266
4174,13632.2740613313
4146,13911
4105,13942.8333333333
4135,13972
4136,13904
4182,13852
4183,13669
4164,13942.6666666667
4165,13868.6666666667
4147,13918.6666666667
4119,13395.3333333333
4123,13751
4130,13891.6666666667
4169,13919.3333333333
4170,13960.3333333333
4171,13892
4181,13979
4151,13872.6666666667
4152,13916.3333333333
4179,13911.6666666667
4215,13935.3333333333
4216,13892.3333333333
4197,13918.3333333333
4198,13919
4194,13956
4195,13902.6666666667
4196,13926.6666666667
4232,13906
4063,13916.6666666667
4019,13921.3333333333
4027,13888.6666666667
4060,13624.6666666667
4002,13487.6666666667
4026,13954.3333333333
4049,13903.3333333333
4208,13940
4050,13943
4061,13917
4033,13853
4051,13973.6666666667
4010,13958
4011,13944.6666666667
4014,13893
4039,13938.3333333333
4022,13869.3333333333
4191,13880.3333333333
4228,13917.6666666667
4221,13896.6666666667
4225,13934
4226,13949.3333333333
4209,13825.3333333333
4242,13882.3333333333
4243,13903
4205,13658.695035461
4210,13892.3333333333
4237,13872.3333333333
4238,13923.6666666667
4233,13408.5017520806
4241,13979.6666666667
4244,13941.3333333333
4245,13878.6666666667
4235,13850
4207,13821.5889724311
4214,13968.6666666667
4223,13973.3333333333
4224,13782.6666666667
4222,13948.6666666667
4007,13941.6666666667
4042,13931
4043,13924.3333333333
4044,13852.3333333333
4003,13956
4035,13899
4037,13975
4008,13893.3333333333
4072,13987.6666666667
4073,13944
4187,13920
4077,13347.1991581163
4038,13324.3333333333
4029,13948.3333333333
4030,13885.3333333333
4069,13899.6666666667
4070,13893
4071,13892.6666666667
4074,13970.6666666667
4075,13967.6666666667
4076,13920
4079,13642.5387029289
4017,13243.5171277997
4020,13922.3333333333
4024,13943.6666666667
4025,13870.3333333333
4009,13818.5761904762
4055,13962.6666666667
4056,13976.3333333333
4001,13337.7761547071
4047,13595.6666666667
4013,13968.3333333333
4040,13887
4068,13728.6666666667
4057,13957.6666666667
4031,13560.2233988759
4041,13946
4032,13914
4062,13936.6666666667
4059,13934.3333333333
4190,13639.3333333333
4045,13896.3333333333
4199,13899
4206,13891.6666666667
4229,13929.3333333333
4248,13420.8413289263
4211,13910
4227,13868
4239,13618.8706430979
4246,13911
4247,13962.6666666667
4234,13833.3333333333
4240,13990.6666666667
4204,13533.6666666667
4012,13950.5604356826
4021,13918
4046,13972
4212,13970.6666666667
4218,13956.3333333333
4219,13904
4220,13945
4217,13944
4201,13935.3333333333
4249,13770
4250,13941
4230,13951
4231,13930.3333333333
4202,13929.6666666667
5092,14026
5112,13953.6666666667
5113,13979
5114,13942
5116,13956.6666666667
5111,13982.3333333333
5024,13948
5033,13953.3333333333
5034,13925.3333333333
5044,13979.6666666667
5023,13960.3333333333
5055,13968.6666666667
5056,14011.3333333333
5015,13993.6666666667
5096,13916.6666666667
5098,13937.6666666667
5099,13962.3333333333
5065,13970.3333333333
5066,13965
5025,13958
5026,13952.6666666667
5027,13984.3333333333
5073,13943
5074,13973
5075,13987.3333333333
5036,13912.6666666667
5037,13974
5038,13975.6666666667
5039,13959.3333333333
5057,14028.3333333333
5063,14006
5064,13993
5070,14015.3333333333
5072,13985
5058,13951.6666666667
5067,13943
5012,13988.3333333333
5013,13959.6666666667
5014,14001.3333333333
5018,13943
5020,14047.3333333333
5068,13923
5071,13940.3333333333
5076,13975.3333333333
5077,13997
5028,13934
5029,13950.6666666667
5030,14000.6666666667
5040,13976.3333333333
5041,13964.6666666667
5042,14022
5100,14009.6666666667
5047,13946.6666666667
5048,13945.6666666667
5049,13973.6666666667
5009,13984
5010,13941.3333333333
5011,13963
5050,13968
5051,13982.3333333333
5052,13961.6666666667
5089,13966
5090,13954
5091,13976.3333333333
5053,13958.3333333333
5054,13973
5107,13947.6666666667
5108,13943.6666666667
5059,13932
5069,14012.6666666667
5079,14008.6666666667
5080,13982
5081,13933
5060,13986
5061,13960
5031,13999.6666666667
5032,13975.6666666667
5021,13954.6666666667
5022,13958.3333333333
5062,13974.3333333333
5019,13946.6666666667
5118,13963
5087,13953
5088,13973.6666666667
5119,13987.3333333333
5120,13974.6666666667
5101,13966
5103,13965.3333333333
5104,13966.6666666667
5105,13996.6666666667
5097,13968.3333333333
5117,13961.3333333333
5109,14001.3333333333
5093,13922.3333333333
5094,13933
5095,13947
5110,14007.3333333333
5035,13973
5086,13963.3333333333
5082,14004.3333333333
5016,13962.3333333333
5001,14021
5017,14007
5002,14022
5083,14010
5084,13944.6666666667
5085,14039
5003,13956.6666666667
5004,14011.3333333333
5045,13960.6666666667
5046,13966.6666666667
5005,13949.6666666667
5006,13901
5007,13935.3333333333
5008,13958.6666666667
5121,14026.3333333333
5115,13993
5106,13951.6666666667
6076,13993
6038,13905.3333333333
6059,14002
6171,14030.3333333333
6052,13929
6173,13968.3333333333
6178,13945.6666666667
6028,13930.6666666667
6082,13968.3333333333
6012,13912.6666666667
6083,13947.6666666667
6071,13937.6666666667
6016,13965
6078,13950
6066,13935
6014,13918.3333333333
6166,13944.3333333333
6128,13979.3333333333
6136,13934.3333333333
6142,13956.3333333333
6089,14010
6091,13933
6044,13917
6045,13945
6095,13926
6075,13910.3333333333
6086,13910.3333333333
6090,13952.3333333333
6157,13941
6181,13964.3333333333
6183,13926.3333333333
6168,13982.6666666667
6172,13994
6175,14002.3333333333
6187,13943.6666666667
6188,13967
6189,13966.3333333333
6177,13963
6103,13939.3333333333
6104,13940.6666666667
6160,13949.3333333333
6124,13947.6666666667
6155,13936.3333333333
6135,14023.6666666667
6120,14022.3333333333
6097,14019
6149,14041.3333333333
6140,13933.6666666667
6121,13940
6102,13875.6666666667
6115,13989.6666666667
6118,14036
6119,13917.3333333333
6144,13940.6666666667
6145,13943
6154,13987.6666666667
6092,13943.3333333333
6093,13984.6666666667
6158,13980.6666666667
6176,13932.6666666667
6180,13936
6018,13936
6025,13881.6666666667
6007,14009.6666666667
6191,13933
6061,14001
6035,13902
6003,13923.3333333333
6008,13913.3333333333
6010,13941
6036,13967.6666666667
6004,14047.3333333333
6011,13963.6666666667
6141,13965.3333333333
6132,13959.6666666667
6100,13883.3333333333
6088,13917.3333333333
6111,13913
6122,13934.3333333333
6126,13929.6666666667
6114,13932.3333333333
6094,13978.6666666667
6123,14009
6150,13997
6106,13964
6164,14041.6666666667
6179,14029.6666666667
6190,13892
6169,13914
6174,13947.6666666667
6170,13927.6666666667
6165,13950
6182,14035.6666666667
6167,13940.6666666667
6185,13967
6022,13874.3333333333
6147,13956.3333333333
6156,13944.6666666667
6127,13909.6666666667
6152,13933.3333333333
6162,13925
6074,13912
6079,13936.3333333333
6105,13964
6063,13954.3333333333
6054,13903.6666666667
6192,13915.6666666667
6013,13934.3333333333
6055,13962.6666666667
6056,14039.3333333333
6041,13951.3333333333
6021,13905.6666666667
6060,13973.6666666667
6184,13985
6186,13967
6077,13984
6002,13905
6081,13920
6067,13827.1374807988
6070,13919
6096,13924.6666666667
6101,13965
6098,13960.3333333333
6116,14015
6146,13910.6666666667
6087,13913.6666666667
6138,13927.3333333333
6109,13982
6113,14034
6131,13956.6666666667
6099,13962.3333333333
6133,14009
6125,13946.3333333333
6151,13937
6148,13920
6110,13938.3333333333
6159,13989.6666666667
6026,14012
6050,14035.3333333333
6043,13959.3333333333
6001,13970.3333333333
6065,13990.6666666667
6019,13928.3333333333
6039,14004.3333333333
6017,13982.3333333333
6058,13982
6084,13970.6666666667
6085,13918.3333333333
6029,13925
6072,14030
6047,13904.6666666667
6048,13945.3333333333
6073,13962
6068,13944
6069,13902.3333333333
6108,13976.3333333333
6009,13913.3333333333
6037,13897.3333333333
6057,13992
6034,13837.3333333333
6027,13991
6051,13975
6005,13984.6666666667
6023,13945.3333333333
6049,13926
6024,13948.6666666667
6053,13942
6020,13993
6040,13966.3333333333
6161,13924.3333333333
6129,13938
6134,13940
6030,13925.3333333333
6107,13969
6112,13925.6666666667
6153,14045.6666666667
6031,13936.3333333333
6163,13923.3333333333
6062,13946
6064,14007
6137,13972.3333333333
6139,13948.6666666667
6015,13956.6666666667
6046,13952
6032,13935
6033,13947.3333333333
6117,14014.3333333333
6143,13985.6666666667
96010,14036.6666666667
96030,14022
96046,13981.6666666667
96012,14023.6666666667
96024,13983.3333333333
96032,13992.3333333333
96001,13925.3333333333
96005,13720.3333333333
96013,13627.3333333333
96035,13994.3333333333
96048,13846.6666666667
96020,14008
96004,14026.1901106488
96037,14009.3333333333
96018,13987.3333333333
96038,13925.6666666667
96019,13882.6666666667
96007,13991.3333333333
96039,14036.3333333333
96008,13951.3333333333
96069,13991.6666666667
96053,14027
96054,13988.6666666667
96055,13606
96079,13992.6666666667
96080,13945.6666666667
96063,13839.3333333333
96081,14007.3333333333
96072,13729.6666666667
96067,14019.3333333333
96041,14026.3333333333
96058,13996
96086,13762
96085,14003.3333333333
96043,14016.3333333333
96068,14020
96064,14023.3333333333
96074,13537.6666666667
96059,14025.3333333333
96065,13996
96056,13856
96066,13940.3333333333
96082,13983.6666666667
96083,14008
96075,13968.6666666667
96076,14019
96057,13966.3333333333
96042,13956.6666666667
96031,14003
96021,13920.3333333333
96087,14018
96088,13876.3333333333
96002,13578
96003,14024.6666666667
96049,14002
96028,13800.3333333333
96050,13939.3333333333
96006,13989.3333333333
96040,14034
96033,14004.3333333333
96034,14002.6666666667
96014,13997.3333333333
96015,13989.3333333333
96026,14033.6666666667
96027,14000
96023,14017
96009,13921.3333333333
96077,14029.6666666667
96078,14022.3333333333
96071,14020.3333333333
96016,14017.6666666667
96044,13630.3333333333
96047,14030.3333333333
96025,14016.6666666667
103018,13923.6666666667
103011,13733.3333333333
103019,13943.6666666667
103047,13743
103048,13876
103004,13909.3333333333
103041,13640.0264741276
103049,13968.3333333333
103072,13984.3333333333
103005,13862.6666666667
103068,13686.6666666667
103056,13490.0049280345
103024,13677.3333333333
103037,13887
103067,13537
103046,13595.6666666667
103015,14039.6666666667
103078,13743
103060,13729.3333333333
103026,13705.6666666667
103031,13190.5927419355
103070,13677.6666666667
103061,13889.6666666667
103023,13811
103038,13908.6666666667
103039,13236.4238825722
103045,13821
103066,13857.3333333333
103007,13503
103071,13441.6693017128
103028,13851.6666666667
103008,13858
103009,13981.6666666667
103010,14002
103062,13530.1234885629
103040,13881.6666666667
103042,13874
103017,13866
103079,13769.0447085456
103034,13900
103035,13870.3333333333
103036,13715.3333333333
103064,13884.3333333333
103016,13997.6666666667
103006,13284.0206677266
103014,13684.5366826156
103032,13906.3333333333
103033,14001.6666666667
103001,13320.2662942272
103002,13666.6666666667
103003,13989
103057,13887
103058,13853.3333333333
103025,13828.7705802969
103029,13713.6666666667
103059,13812
103065,13691.6666666667
103021,13473
103012,13474.3333333333
103013,13937.6666666667
103050,13922.3333333333
103051,13735.6666666667
103052,13907
103022,13898.3333333333
103053,13939.6666666667
103043,13778.3333333333
103044,13962.3333333333
103074,13993.6666666667
103075,13916
103076,13774.3333333333
103054,13656.3333333333
103055,13900.3333333333
103069,13606.3333333333
103077,13912
7022,13216.041023771
7011,13288.6666666667
7012,13578.9123314066
7013,13651.3333333333
7053,13398
7054,13708.641509434
7024,13617.6666666667
7055,13096.3333333333
7020,13714.3190138576
7014,13697
7015,13526.3333333333
7001,13704.6666666667
7002,13677.6666666667
7016,13317.3333333333
7062,13403.3333333333
7063,13614.6666666667
7027,13261.2134461683
7036,13453.6666666667
7037,13637.6666666667
7038,13583.3333333333
7045,13473.3333333333
7064,13217.1781479179
7072,13831
7073,13892
7074,13673.6666666667
7025,13830.6666666667
7026,13360.6666666667
7035,13594
7057,13784.3333333333
7003,13826
7004,13803
7017,13360.5669014085
7018,13270.7789520035
7019,13300
7005,13340.6666666667
7006,13339.4747642818
7050,13399.3333333333
7051,13437.3333333333
7052,13915.6666666667
7056,13275
7040,13361.5289514867
7010,13174.0641025641
7021,13149.8175908618
7046,13291
7047,13283.3333333333
7065,13827.6666666667
7066,13627.3333333333
7067,13441.6666666667
7028,13571
7029,13499.3333333333
7049,13451.3333333333
7044,13490.6666666667
7059,13883.1666666667
7060,13280.3333333333
7061,13698
7039,13504.6666666667
7048,13745.6666666667
7007,13257.581373905
7008,13477
7009,13902
7058,13849.3333333333
7030,13465
7042,13631.3333333333
7068,13088.3333333333
7069,13483.3333333333
7031,13389.3333333333
7032,13210.4444444444
7041,13156.9917376711
7043,13851.6666666667
7023,13526
7033,13377.3912373404
7034,13764.3333333333
7070,13153.9947171473
7071,13225.5555555556
12142,13923
12075,14019.3333333333
12076,13924.3333333333
12077,13985.6666666667
12093,13978.6666666667
12095,13968
12030,13979.6666666667
12031,14001.3333333333
12032,14048.3333333333
12062,13941.6666666667
12063,13877.3333333333
12064,13968
12098,14044.3333333333
12099,13832
12100,13901
12101,13961
12102,13903.3333333333
12103,13944.3333333333
12033,14012
12034,14039
12078,14020.3333333333
12079,14026.6666666667
12109,14026.6666666667
12117,13996.6666666667
12110,13903.3333333333
12111,13924.3333333333
12113,13890.3333333333
12114,13893.3333333333
12115,13899.3333333333
12126,13943
12136,14025.6666666667
12116,13966
12106,13979.6666666667
12127,14013
12128,13937.3333333333
12129,13934.6666666667
12130,14020.3333333333
12137,14009
12138,13971
12139,13967.3333333333
12042,14050.6666666667
12043,13822.6666666667
12044,14011
12045,13886.6666666667
12046,14010.3333333333
12006,13937.3333333333
12007,13918
12008,13999.6666666667
12054,13937.6666666667
12021,13866.3333333333
12022,13887
12038,13975.6666666667
12040,14048
12041,13939.6666666667
12086,13853.3333333333
12087,13974.6666666667
12088,13989.3333333333
12070,14051.6666666667
12071,13894.6666666667
12023,13974.3333333333
12024,13880
12072,13950.3333333333
12004,13978.6666666667
12005,13995.3333333333
12105,13992.3333333333
12055,13997.6666666667
12056,13858.3333333333
12057,13975.6666666667
12001,13968
12002,14022.6666666667
12003,13972.6666666667
12048,14046.6666666667
12050,14010
12051,14010
12052,13978.3333333333
12053,13978
12083,14001
12020,13947.6666666667
12118,14021
12119,14033
12120,13970.6666666667
12096,13994.3333333333
12097,13862.3333333333
12121,14030.6666666667
12122,14032.6666666667
12131,13885.3333333333
12132,13913.6666666667
12133,13983.427359882
12134,13995
12035,14003
12036,13941.3333333333
12037,14016.6666666667
12039,14037
12081,13922
12082,13924.3333333333
12084,13963.6666666667
12085,14039.3333333333
12065,13930.3333333333
12066,13990.6666666667
12014,13916.6666666667
12049,13897.6666666667
12067,14024.6666666667
12068,14060
12069,13911
12015,13963.3333333333
12016,13917.6666666667
12017,13967.3333333333
12018,13944.3333333333
12019,14016.6666666667
12089,14015.3333333333
12090,14007
12091,13990.3333333333
12092,13937.3333333333
12073,13972.3333333333
12074,13983.3333333333
12123,14009
12124,13990
12125,13949.3333333333
12140,14018.6666666667
12141,13980
12108,14049.3333333333
12047,14012
12058,13928.6666666667
12059,13899.6666666667
12025,13940.3333333333
12026,14038.6666666667
12027,13874.6666666667
12028,13945.3333333333
12009,13938.3333333333
12010,13885.3333333333
12011,13924.6666666667
12029,14030
12012,14008
12013,13986.3333333333
12060,13887.3333333333
12061,13774.3333333333
12107,14040
12080,14008.3333333333
12104,13989
13255,13974.3333333333
13206,14003.6666666667
13253,13795
13250,13831.3333333333
13251,13967.6666666667
13145,13944.6666666667
13147,13948.6666666667
13152,13903.3333333333
13153,13948.6666666667
13154,14004.6666666667
13155,13870
13170,13967.3333333333
13134,13982.6666666667
13135,14012.3333333333
13136,13987
13137,13997.3333333333
13138,14011
13139,13780
13044,13938
13045,14018
13046,14016.3333333333
13047,13932.6666666667
13048,14030.6666666667
13024,13963.3333333333
13178,13875.6666666667
13183,13835.3333333333
13184,13883.6666666667
13053,14004
13157,13951.6666666667
13026,13921.6666666667
13028,14014.3333333333
13029,13992.3333333333
13030,13841.6666666667
13032,13997
13143,14027.6666666667
13144,14032.3333333333
13052,13923.6666666667
13245,14006.6666666667
13246,13806.3333333333
13248,13993.3333333333
13084,13996.6666666667
13126,13835
13227,14033
13013,13941.3333333333
13015,13858
13021,13700
13022,13987.6666666667
13023,13978.3333333333
13025,13853
13041,14010.6666666667
13042,13910.3333333333
13043,13991.3333333333
13160,13897
13161,13903.3333333333
13163,14035.6666666667
13165,13985.6666666667
13169,13998.3333333333
13062,13720.3333333333
13063,13834.6666666667
13064,14015.6666666667
13007,13982
13009,13981.3333333333
13010,14000.6666666667
13159,14016.6666666667
13193,13978
13195,13907.6666666667
13197,13963.3333333333
13199,13987.3333333333
13201,14014.6666666667
13011,13857
13012,14026.3333333333
13128,14014.3333333333
13129,13951
13130,13603.6666666667
13131,14016.6666666667
13133,14026
13095,13983
13097,13967.6666666667
13098,13843
13234,13925
13236,13883.3333333333
13238,14001.6666666667
13239,13878.6666666667
13242,14011.6666666667
